id,title,body,category,screens,keywords,priority
item_015,架電管理のよくある質問(ダミー),架電管理のよくある質問(ダミー) のダミー説明です。後で内容を追加してください。,faq,teleapo,架電管理のよくある質問(ダミー),50
item_016,架電管理の使い方(ダミー),架電管理の使い方(ダミー) のダミー説明です。後で内容を追加してください。,howto,teleapo,架電管理の使い方(ダミー),50
item_017,架電数,架電数 のダミー説明です。後で内容を追加してください。,glossary,teleapo,架電数,50
item_018,通電数,通電数 のダミー説明です。後で内容を追加してください。,glossary,teleapo,通電数,50
item_019,架電管理のエラー(ダミー),架電管理のエラー(ダミー) のダミー説明です。後で内容を追加してください。,error,teleapo,架電管理のエラー(ダミー),50
item_020,架電管理の全体ヘルプ(ダミー),架電管理の全体ヘルプ(ダミー) のダミー説明です。後で内容を追加してください。,general,teleapo,架電管理の全体ヘルプ(ダミー),50
item_021,紹介先企業管理のよくある質問(ダミー),紹介先企業管理のよくある質問(ダミー) のダミー説明です。後で内容を追加してください。,faq,referral,紹介先企業管理のよくある質問(ダミー),50
item_022,紹介先企業管理の使い方(ダミー),紹介先企業管理の使い方(ダミー) のダミー説明です。後で内容を追加してください。,howto,referral,紹介先企業管理の使い方(ダミー),50
item_023,CSVエクスポート,CSVエクスポート のダミー説明です。後で内容を追加してください。,glossary,referral,CSVエクスポート,50
item_024,新規紹介先企業登録,新規紹介先企業登録 のダミー説明です。後で内容を追加してください。,glossary,referral,新規紹介先企業登録,50
item_025,紹介先企業管理のエラー(ダミー),紹介先企業管理のエラー(ダミー) のダミー説明です。後で内容を追加してください。,error,referral,紹介先企業管理のエラー(ダミー),50
item_026,紹介先企業管理の全体ヘルプ(ダミー),紹介先企業管理の全体ヘルプ(ダミー) のダミー説明です。後で内容を追加してください。,general,referral,紹介先企業管理の全体ヘルプ(ダミー),50
item_027,広告管理のよくある質問(ダミー),広告管理のよくある質問(ダミー) のダミー説明です。後で内容を追加してください。,faq,ad_performance,広告管理のよくある質問(ダミー),50
item_028,広告管理の使い方(ダミー),広告管理の使い方(ダミー) のダミー説明です。後で内容を追加してください。,howto,ad_performance,広告管理の使い方(ダミー),50
item_029,広告管理の用語(ダミー),広告管理の用語(ダミー) のダミー説明です。後で内容を追加してください。,glossary,ad_performance,広告管理の用語(ダミー),50
item_030,広告管理のエラー(ダミー),広告管理のエラー(ダミー) のダミー説明です。後で内容を追加してください。,error,ad_performance,広告管理のエラー(ダミー),50
item_031,広告管理の全体ヘルプ(ダミー),広告管理の全体ヘルプ(ダミー) のダミー説明です。後で内容を追加してください。,general,ad_performance,広告管理の全体ヘルプ(ダミー),50
item_032,候補者管理のよくある質問(ダミー),候補者管理のよくある質問(ダミー) のダミー説明です。後で内容を追加してください。,faq,candidates,候補者管理のよくある質問(ダミー),50
item_033,候補者管理の使い方(ダミー),候補者管理の使い方(ダミー) のダミー説明です。後で内容を追加してください。,howto,candidates,候補者管理の使い方(ダミー),50
item_034,候補者管理の用語(ダミー),候補者管理の用語(ダミー) のダミー説明です。後で内容を追加してください。,glossary,candidates,候補者管理の用語(ダミー),50
item_035,候補者管理のエラー(ダミー),候補者管理のエラー(ダミー) のダミー説明です。後で内容を追加してください。,error,candidates,候補者管理のエラー(ダミー),50
item_036,候補者管理の全体ヘルプ(ダミー),候補者管理の全体ヘルプ(ダミー) のダミー説明です。後で内容を追加してください。,general,candidates,候補者管理の全体ヘルプ(ダミー),50
item_037,評価・目標設定のよくある質問(ダミー),評価・目標設定のよくある質問(ダミー) のダミー説明です。後で内容を追加してください。,faq,goal_settings,評価・目標設定のよくある質問(ダミー),50
item_038,評価・目標設定の使い方(ダミー),評価・目標設定の使い方(ダミー) のダミー説明です。後で内容を追加してください。,howto,goal_settings,評価・目標設定の使い方(ダミー),50
item_039,評価・目標設定の用語(ダミー),評価・目標設定の用語(ダミー) のダミー説明です。後で内容を追加してください。,glossary,goal_settings,評価・目標設定の用語(ダミー),50
item_040,評価・目標設定のエラー(ダミー),評価・目標設定のエラー(ダミー) のダミー説明です。後で内容を追加してください。,error,goal_settings,評価・目標設定のエラー(ダミー),50
item_041,評価・目標設定の全体ヘルプ(ダミー),評価・目標設定の全体ヘルプ(ダミー) のダミー説明です。後で内容を追加してください。,general,goal_settings,評価・目標設定の全体ヘルプ(ダミー),50
